"CAND_ID","CAND_ELECTION_YR","FEC_ELECTION_YR","CMTE_ID","CMTE_TP","CMTE_DSGN","LINKAGE_ID","robin_id","display_name","source","target","type","id","dataset","dataset_id","name"
"C00713602","2019","2020","C00712851","X","U","228963","1583206034069707928","C00713602","C00713602","C00712851",,"228963","fec","228963","C00713602"
"H0AK00105","2020","2020","C00607515","H","P","229250","1583206034071393180","H0AK00105","H0AK00105","C00607515",,"229250","fec","229250","H0AK00105"
"H0AL01055","2020","2020","C00697789","H","P","226125","1583206034072598938","H0AL01055","H0AL01055","C00697789",,"226125","fec","226125","H0AL01055"
"H0AL01063","2020","2020","C00701557","H","P","227053","1583206034072130518","H0AL01063","H0AL01063","C00701557",,"227053","fec","227053","H0AL01063"
"H0AL01071","2020","2020","C00701409","H","P","227054","1583206034072146294","H0AL01071","H0AL01071","C00701409",,"227054","fec","227054","H0AL01071"
"H0AL01089","2020","2020","C00703066","H","P","227266","1583206034072693913","H0AL01089","H0AL01089","C00703066",,"227266","fec","227266","H0AL01089"
"H0AL01097","2020","2020","C00708867","H","P","228081","1583206034072102909","H0AL01097","H0AL01097","C00708867",,"228081","fec","228081","H0AL01097"
"H0AL01105","2020","2020","C00710947","H","P","228368","1583206034073959930","H0AL01105","H0AL01105","C00710947",,"228368","fec","228368","H0AL01105"
"H0AL01113","2020","2020","C00719351","H","P","229537","1583206034073287703","H0AL01113","H0AL01113","C00719351",,"229537","fec","229537","H0AL01113"
"H0AL01121","2020","2020","C00722512","H","P","230000","1583206034073367391","H0AL01121","H0AL01121","C00722512",,"230000","fec","230000","H0AL01121"
"H0AL01139","2020","2020","C00725069","H","P","230364","1583206034073526741","H0AL01139","H0AL01139","C00725069",,"230364","fec","230364","H0AL01139"
"H0AL02087","2020","2020","C00493783","H","J","222650","1583206034073204798","H0AL02087","H0AL02087","C00493783",,"222650","fec","222650","H0AL02087"
"H0AL02087","2020","2020","C00462143","H","P","222607","1583206034073271466","H0AL02087","H0AL02087","C00462143",,"222607","fec","222607","H0AL02087"
"H0AL02137","2020","2020","C00714337","H","P","228842","1583206034073323697","H0AL02137","H0AL02137","C00714337",,"228842","fec","228842","H0AL02137"
"H0AL02145","2020","2020","C00715698","H","P","228996","1583206034074965430","H0AL02145","H0AL02145","C00715698",,"228996","fec","228996","H0AL02145"
"H0AL02152","2020","2020","C00718411","H","P","229365","1583206034074673609","H0AL02152","H0AL02152","C00718411",,"229365","fec","229365","H0AL02152"
"H0AL02160","2020","2020","C00723478","H","P","230174","1583206034074313581","H0AL02160","H0AL02160","C00723478",,"230174","fec","230174","H0AL02160"
"H0AL02178","2020","2020","C00723759","H","P","230218","1583206034074662922","H0AL02178","H0AL02178","C00723759",,"230218","fec","230218","H0AL02178"
"H0AL02194","2020","2020","C00726109","H","P","230487","158320603407485501","H0AL02194","H0AL02194","C00726109",,"230487","fec","230487","H0AL02194"
"H0AL02202","2020","2020","C00728873","H","P","230831","1583206034074982200","H0AL02202","H0AL02202","C00728873",,"230831","fec","230831","H0AL02202"
"H0AL03192","2020","2020","C00681452","H","P","225608","1583206034074686051","H0AL03192","H0AL03192","C00681452",,"225608","fec","225608","H0AL03192"
"H0AL05049","2008","2020","C00239038","N","U","222371","1583206034075836690","H0AL05049","H0AL05049","C00239038",,"222371","fec","222371","H0AL05049"
"H0AL05163","2020","2020","C00464149","H","P","222553","1583206034075411747","H0AL05163","H0AL05163","C00464149",,"222553","fec","222553","H0AL05163"
"H0AL05205","2020","2020","C00701375","H","P","227010","1583206034075307733","H0AL05205","H0AL05205","C00701375",,"227010","fec","227010","H0AL05205"
"H0AL06104","2020","2020","C00681213","H","P","225022","1583206034075585836","H0AL06104","H0AL06104","C00681213",,"225022","fec","225022","H0AL06104"
"H0AL06112","2020","2020","C00696765","H","P","225906","1583206034076872785","H0AL06112","H0AL06112","C00696765",,"225906","fec","225906","H0AL06112"
"H0AL07086","2020","2020","C00458976","H","P","222443","1583206034076857857","H0AL07086","H0AL07086","C00458976",,"222443","fec","222443","H0AL07086"
"H0AL07193","2020","2020","C00723601","H","P","230175","1583206034076232001","H0AL07193","H0AL07193","C00723601",,"230175","fec","230175","H0AL07193"
"H0AR01083","2020","2020","C00462374","H","P","222608","158320603407698186","H0AR01083","H0AR01083","C00462374",,"222608","fec","222608","H0AR01083"
"H0AR01083","2020","2020","C00493783","H","J","222649","1583206034079214224","H0AR01083","H0AR01083","C00493783",,"222649","fec","222649","H0AR01083"
"H0AR01109","2010","2020","C00475384","H","P","222689","1583206034080714447","H0AR01109","H0AR01109","C00475384",,"222689","fec","222689","H0AR01109"
"H0AR01125","2010","2020","C00480905","H","P","222687","1583206034080758835","H0AR01125","H0AR01125","C00480905",,"222687","fec","222687","H0AR01125"
"H0AR02198","2020","2020","C00711226","H","P","228442","1583206034080371419","H0AR02198","H0AR02198","C00711226",,"228442","fec","228442","H0AR02198"
"H0AR02206","2020","2020","C00726943","H","P","230554","1583206034080885075","H0AR02206","H0AR02206","C00726943",,"230554","fec","230554","H0AR02206"
"H0AR03030","2010","2020","C00468033","H","P","222574","1583206034080700354","H0AR03030","H0AR03030","C00468033",,"222574","fec","222574","H0AR03030"
"H0AR03055","2020","2020","C00477745","H","P","222675","1583206034080270218","H0AR03055","H0AR03055","C00477745",,"222675","fec","222675","H0AR03055"
"H0AR03055","2020","2020","C00497149","N","J","222804","1583206034080274787","H0AR03055","H0AR03055","C00497149",,"222804","fec","222804","H0AR03055"
"H0AR03105","2020","2020","C00709667","H","P","228909","1583206034080339711","H0AR03105","H0AR03105","C00709667",,"228909","fec","228909","H0AR03105"
"H0AR04087","2020","2020","C00717439","H","P","229270","1583206034080205173","H0AR04087","H0AR04087","C00717439",,"229270","fec","229270","H0AR04087"
"H0AZ01259","2020","2020","C00461806","H","P","222597","1583206034081975368","H0AZ01259","H0AZ01259","C00461806",,"222597","fec","222597","H0AZ01259"
"H0AZ01358","2020","2020","C00694091","H","P","225629","1583206034081310583","H0AZ01358","H0AZ01358","C00694091",,"225629","fec","225629","H0AZ01358"
"H0AZ01366","2020","2020","C00707471","H","P","227935","1583206034081688752","H0AZ01366","H0AZ01366","C00707471",,"227935","fec","227935","H0AZ01366"
"H0AZ01382","2020","2020","C00716050","H","P","229055","1583206034081152441","H0AZ01382","H0AZ01382","C00716050",,"229055","fec","229055","H0AZ01382"
"H0AZ01390","2020","2020","C00722603","H","P","230027","1583206034081803719","H0AZ01390","H0AZ01390","C00722603",,"230027","fec","230027","H0AZ01390"
"H0AZ01408","2020","2020","C00722694","H","P","230055","1583206034081193694","H0AZ01408","H0AZ01408","C00722694",,"230055","fec","230055","H0AZ01408"
"H0AZ01424","2020","2020","C00739862","H","P","232364","1583206034081716997","H0AZ01424","H0AZ01424","C00739862",,"232364","fec","232364","H0AZ01424"
"H0AZ02174","2020","2020","C00696930","H","P","225981","158320603408188687","H0AZ02174","H0AZ02174","C00696930",,"225981","fec","225981","H0AZ02174"
"H0AZ02182","2020","2020","C00698084","H","P","226245","1583206034081980736","H0AZ02182","H0AZ02182","C00698084",,"226245","fec","226245","H0AZ02182"
"H0AZ02190","2020","2020","C00698373","H","P","227011","158320603408126753","H0AZ02190","H0AZ02190","C00698373",,"227011","fec","227011","H0AZ02190"
"H0AZ02216","2020","2020","C00708149","H","P","227993","1583206034081265088","H0AZ02216","H0AZ02216","C00708149",,"227993","fec","227993","H0AZ02216"
"H0AZ02224","2020","2020","C00708388","H","P","228010","1583206034081188763","H0AZ02224","H0AZ02224","C00708388",,"228010","fec","228010","H0AZ02224"
"H0AZ02232","2020","2020","C00710582","H","P","228309","1583206034081915175","H0AZ02232","H0AZ02232","C00710582",,"228309","fec","228309","H0AZ02232"
"H0AZ02240","2020","2020","C00716944","H","P","229176","1583206034082124037","H0AZ02240","H0AZ02240","C00716944",,"229176","fec","229176","H0AZ02240"
"H0AZ02257","2020","2020","C00717819","H","P","229310","1583206034082972980","H0AZ02257","H0AZ02257","C00717819",,"229310","fec","229310","H0AZ02257"
"H0AZ02265","2020","2020","C00734087","H","P","231523","1583206034082850578","H0AZ02265","H0AZ02265","C00734087",,"231523","fec","231523","H0AZ02265"
"H0AZ02273","2020","2020","C00734715","H","P","231584","1583206034082138668","H0AZ02273","H0AZ02273","C00734715",,"231584","fec","231584","H0AZ02273"
"H0AZ02281","2020","2020","C00736918","H","P","231950","1583206034082769976","H0AZ02281","H0AZ02281","C00736918",,"231950","fec","231950","H0AZ02281"
"H0AZ02299","2020","2020","C00738328","H","P","232179","1583206034082960928","H0AZ02299","H0AZ02299","C00738328",,"232179","fec","232179","H0AZ02299"
"H0AZ03321","2014","2020","C00474916","H","P","222978","1583206034082107466","H0AZ03321","H0AZ03321","C00474916",,"222978","fec","222978","H0AZ03321"
"H0AZ03453","2020","2020","C00725333","H","P","230403","1583206034082229830","H0AZ03453","H0AZ03453","C00725333",,"230403","fec","230403","H0AZ03453"
"H0AZ03461","2020","2020","C00725697","H","P","230440","1583206034082283582","H0AZ03461","H0AZ03461","C00725697",,"230440","fec","230440","H0AZ03461"
"H0AZ04527","2020","2020","C00717025","H","P","229177","1583206034082911682","H0AZ04527","H0AZ04527","C00717025",,"229177","fec","229177","H0AZ04527"
"H0AZ04535","2020","2020","C00725689","H","P","230441","1583206034082841473","H0AZ04535","H0AZ04535","C00725689",,"230441","fec","230441","H0AZ04535"
"H0AZ05078","2010","2020","C00462432","H","P","222545","1583206034082704383","H0AZ05078","H0AZ05078","C00462432",,"222545","fec","222545","H0AZ05078"
"H0AZ05169","2020","2020","C00727362","H","P","230599","1583206034082607109","H0AZ05169","H0AZ05169","C00727362",,"230599","fec","230599","H0AZ05169"
"H0AZ05177","2020","2020","C00737429","H","P","232093","1583206034082331470","H0AZ05177","H0AZ05177","C00737429",,"232093","fec","232093","H0AZ05177"
"H0AZ06068","2020","2020","C00699249","H","P","226463","1583206034083926853","H0AZ06068","H0AZ06068","C00699249",,"226463","fec","226463","H0AZ06068"
"H0AZ06076","2020","2020","C00721555","H","P","229883","1583206034083765876","H0AZ06076","H0AZ06076","C00721555",,"229883","fec","229883","H0AZ06076"
"H0AZ06084","2020","2020","C00723197","H","P","230128","1583206034083826083","H0AZ06084","H0AZ06084","C00723197",,"230128","fec","230128","H0AZ06084"
"H0AZ06092","2020","2020","C00725614","H","P","231330","1583206034083617792","H0AZ06092","H0AZ06092","C00725614",,"231330","fec","231330","H0AZ06092"
"H0AZ06100","2020","2020","C00735175","H","P","231675","1583206034083985513","H0AZ06100","H0AZ06100","C00735175",,"231675","fec","231675","H0AZ06100"
"H0AZ07082","2020","2020","C00702332","H","P","227197","1583206034083700521","H0AZ07082","H0AZ07082","C00702332",,"227197","fec","227197","H0AZ07082"
"H0AZ07090","2020","2020","C00713081","H","P","228701","1583206034083784831","H0AZ07090","H0AZ07090","C00713081",,"228701","fec","228701","H0AZ07090"
"H0AZ07108","2020","2020","C00738617","H","P","232237","1583206034083285646","H0AZ07108","H0AZ07108","C00738617",,"232237","fec","232237","H0AZ07108"
"H0AZ08072","2020","2020","C00703124","H","P","227301","1583206034083899751","H0AZ08072","H0AZ08072","C00703124",,"227301","fec","227301","H0AZ08072"
"H0AZ08080","2020","2020","C00715748","H","P","229024","1583206034083817240","H0AZ08080","H0AZ08080","C00715748",,"229024","fec","229024","H0AZ08080"
"H0AZ08098","2020","2020","C00732875","H","P","231383","1583206034083946682","H0AZ08098","H0AZ08098","C00732875",,"231383","fec","231383","H0AZ08098"
"H0AZ09013","2020","2020","C00713123","H","P","228702","1583206034083197446","H0AZ09013","H0AZ09013","C00713123",,"228702","fec","228702","H0AZ09013"
"H0AZ09021","2020","2020","C00723288","H","P","230148","1583206034083564018","H0AZ09021","H0AZ09021","C00723288",,"230148","fec","230148","H0AZ09021"
"H0AZ09047","2020","2020","C00733675","H","P","231456","1583206034083490167","H0AZ09047","H0AZ09047","C00733675",,"231456","fec","231456","H0AZ09047"
"H0AZ09062","2020","2020","C00734673","H","P","231595","1583206034084898607","H0AZ09062","H0AZ09062","C00734673",,"231595","fec","231595","H0AZ09062"
"H0CA00082","2012","2020","C00479188","H","P","222676","1583206034084654702","H0CA00082","H0CA00082","C00479188",,"222676","fec","222676","H0CA00082"
"H0CA01171","2020","2020","C00696229","H","P","225796","1583206034084695129","H0CA01171","H0CA01171","C00696229",,"225796","fec","225796","H0CA01171"
"H0CA01197","2020","2020","C00729723","H","P","230979","1583206034084558659","H0CA01197","H0CA01197","C00729723",,"230979","fec","230979","H0CA01197"
"H0CA01205","2020","2020","C00729707","H","P","230963","158320603408479511","H0CA01205","H0CA01205","C00729707",,"230963","fec","230963","H0CA01205"
"H0CA02153","2020","2020","C00732453","H","P","231331","1583206034084468285","H0CA02153","H0CA02153","C00732453",,"231331","fec","231331","H0CA02153"
"H0CA03078","2020","2020","C00461061","H","P","222602","1583206034084912170","H0CA03078","H0CA03078","C00461061",,"222602","fec","222602","H0CA03078"
"H0CA03078","2020","2020","C00519900","N","J","222879","1583206034084908512","H0CA03078","H0CA03078","C00519900",,"222879","fec","222879","H0CA03078"
"H0CA03128","2020","2020","C00706374","H","P","227725","1583206034084994037","H0CA03128","H0CA03128","C00706374",,"227725","fec","227725","H0CA03128"
"H0CA03136","2020","2020","C00715227","H","P","228945","158320603408492032","H0CA03136","H0CA03136","C00715227",,"228945","fec","228945","H0CA03136"
"H0CA03144","2020","2020","C00719369","H","P","229507","1583206034084749629","H0CA03144","H0CA03144","C00719369",,"229507","fec","229507","H0CA03144"
"H0CA04167","2020","2020","C00691790","N","U","224278","1583206034085806877","H0CA04167","H0CA04167","C00691790",,"224278","fec","224278","H0CA04167"
"H0CA04175","2020","2020","C00704650","H","P","227529","1583206034085270931","H0CA04175","H0CA04175","C00704650",,"227529","fec","227529","H0CA04175"
"H0CA04183","2020","2020","C00676320","H","P","227990","1583206034085385872","H0CA04183","H0CA04183","C00676320",,"227990","fec","227990","H0CA04183"
"H0CA04191","2020","2020","C00727107","H","P","230600","1583206034085661642","H0CA04191","H0CA04191","C00727107",,"230600","fec","230600","H0CA04191"
"H0CA04217","2020","2020","C00728303","H","P","230795","1583206034085907549","H0CA04217","H0CA04217","C00728303",,"230795","fec","230795","H0CA04217"
"H0CA05107","2020","2020","C00714592","H","P","228946","1583206034085194529","H0CA05107","H0CA05107","C00714592",,"228946","fec","228946","H0CA05107"
"H0CA05115","2020","2020","C00720813","H","P","229776","1583206034085760207","H0CA05115","H0CA05115","C00720813",,"229776","fec","229776","H0CA05115"
"H0CA06154","2020","2020","C00712174","H","P","228570","1583206034086412034","H0CA06154","H0CA06154","C00712174",,"228570","fec","228570","H0CA06154"
"H0CA06162","2020","2020","C00718098","H","P","229386","1583206034086528149","H0CA06162","H0CA06162","C00718098",,"229386","fec","229386","H0CA06162"
"H0CA06170","2020","2020","C00721548","H","P","229884","1583206034086591321","H0CA06170","H0CA06170","C00721548",,"229884","fec","229884","H0CA06170"
"H0CA06188","2020","2020","C00738526","H","P","232228","1583206034086970129","H0CA06188","H0CA06188","C00738526",,"232228","fec","232228","H0CA06188"
"H0CA07129","2020","2020","C00707836","H","P","227966","1583206034087836430","H0CA07129","H0CA07129","C00707836",,"227966","fec","227966","H0CA07129"
"H0CA07137","2020","2020","C00710624","H","P","228310","1583206034087368568","H0CA07137","H0CA07137","C00710624",,"228310","fec","228310","H0CA07137"
"H0CA07145","2020","2020","C00713966","H","P","228814","158320603408818470","H0CA07145","H0CA07145","C00713966",,"228814","fec","228814","H0CA07145"
"H0CA07152","2020","2020","C00728261","H","P","230715","1583206034088313579","H0CA07152","H0CA07152","C00728261",,"230715","fec","230715","H0CA07152"
"H0CA08069","2020","2020","C00698894","H","P","226410","1583206034088597222","H0CA08069","H0CA08069","C00698894",,"226410","fec","226410","H0CA08069"
"H0CA08069","2020","2020","C00465914","N","U","222662","158320603408828658","H0CA08069","H0CA08069","C00465914",,"222662","fec","222662","H0CA08069"
"H0CA08101","2020","2020","C00701284","H","P","226954","1583206034088161733","H0CA08101","H0CA08101","C00701284",,"226954","fec","226954","H0CA08101"
"H0CA08119","2020","2020","C00701904","H","P","227140","1583206034089734308","H0CA08119","H0CA08119","C00701904",,"227140","fec","227140","H0CA08119"
"H0CA08127","2020","2020","C00719880","H","P","229579","1583206034089259888","H0CA08127","H0CA08127","C00719880",,"229579","fec","229579","H0CA08127"
"H0CA08135","2020","2020","C00720078","H","P","229627","1583206034089286316","H0CA08135","H0CA08135","C00720078",,"229627","fec","229627","H0CA08135"
"H0CA08143","2020","2020","C00734350","H","P","231596","158320603408996365","H0CA08143","H0CA08143","C00734350",,"231596","fec","231596","H0CA08143"
"H0CA08150","2020","2020","C00724294","H","P","231089","1583206034089104840","H0CA08150","H0CA08150","C00724294",,"231089","fec","231089","H0CA08150"
"H0CA08168","2020","2020","C00731604","H","P","231196","1583206034089737787","H0CA08168","H0CA08168","C00731604",,"231196","fec","231196","H0CA08168"
"H0CA08176","2020","2020","C00731646","H","P","231197","1583206034089927476","H0CA08176","H0CA08176","C00731646",,"231197","fec","231197","H0CA08176"
"H0CA08184","2020","2020","C00732131","H","P","231274","1583206034089504651","H0CA08184","H0CA08184","C00732131",,"231274","fec","231274","H0CA08184"
"H0CA09109","2020","2020","C00723957","H","P","230193","1583206034089972095","H0CA09109","H0CA09109","C00723957",,"230193","fec","230193","H0CA09109"
"H0CA09117","2020","2020","C00728410","H","P","230796","1583206034089115084","H0CA09117","H0CA09117","C00728410",,"230796","fec","230796","H0CA09117"
"H0CA09125","2020","2020","C00728618","H","P","230776","1583206034090932582","H0CA09125","H0CA09125","C00728618",,"230776","fec","230776","H0CA09125"
"H0CA10073","2020","2020","C00554709","H","P","222934","1583206034090571912","H0CA10073","H0CA10073","C00554709",,"222934","fec","222934","H0CA10073"
"H0CA10149","2020","2020","C00462697","H","P","222549","1583206034090114406","H0CA10149","H0CA10149","C00462697",,"222549","fec","222549","H0CA10149"
"H0CA10248","2020","2020","C00703785","H","P","227426","1583206034090243692","H0CA10248","H0CA10248","C00703785",,"227426","fec","227426","H0CA10248"
"H0CA10263","2020","2020","C00703363","H","P","227376","1583206034090408573","H0CA10263","H0CA10263","C00703363",,"227376","fec","227376","H0CA10263"
"H0CA10271","2020","2020","C00706333","H","P","227726","1583206034090602881","H0CA10271","H0CA10271","C00706333",,"227726","fec","227726","H0CA10271"
"H0CA10289","2020","2020","C00722298","H","P","230001","1583206034090668072","H0CA10289","H0CA10289","C00722298",,"230001","fec","230001","H0CA10289"
"H0CA11303","2010","2020","C00463059","H","P","229764","1583206034090251083","H0CA11303","H0CA11303","C00463059",,"229764","fec","229764","H0CA11303"
"H0CA11352","2014","2020","C00545509","H","P","223249","1583206034090597200","H0CA11352","H0CA11352","C00545509",,"223249","fec","223249","H0CA11352"
"H0CA11378","2020","2020","C00723593","H","P","230176","1583206034090160086","H0CA11378","H0CA11378","C00723593",,"230176","fec","230176","H0CA11378"
"H0CA12111","2020","2020","C00696245","H","P","226152","1583206034090251339","H0CA12111","H0CA12111","C00696245",,"226152","fec","226152","H0CA12111"
"H0CA12129","2020","2020","C00700575","H","P","226955","158320603409092927","H0CA12129","H0CA12129","C00700575",,"226955","fec","226955","H0CA12129"
"H0CA12137","2020","2020","C00709683","H","P","228186","1583206034091634255","H0CA12137","H0CA12137","C00709683",,"228186","fec","228186","H0CA12137"
"H0CA13051","2020","2020","C00726133","H","P","230488","1583206034091946077","H0CA13051","H0CA13051","C00726133",,"230488","fec","230488","H0CA13051"
"H0CA13127","2020","2020","C00708214","H","P","228011","1583206034091220387","H0CA13127","H0CA13127","C00708214",,"228011","fec","228011","H0CA13127"
"H0CA14109","2020","2020","C00732214","H","P","231308","1583206034091537416","H0CA14109","H0CA14109","C00732214",,"231308","fec","231308","H0CA14109"
"H0CA14117","2020","2020","C00729038","H","P","230856","1583206034091361131","H0CA14117","H0CA14117","C00729038",,"230856","fec","230856","H0CA14117"
"H0CA15148","2016","2020","C00351379","H","P","222331","1583206034091565912","H0CA15148","H0CA15148","C00351379",,"222331","fec","222331","H0CA15148"
"H0CA15171","2014","2020","C00458117","H","P","222436","1583206034092954369","H0CA15171","H0CA15171","C00458117",,"222436","fec","222436","H0CA15171"
"H0CA15213","2020","2020","C00702076","H","P","227267","1583206034092327056","H0CA15213","H0CA15213","C00702076",,"227267","fec","227267","H0CA15213"
"H0CA15221","2020","2020","C00706622","H","P","227761","158320603409217893","H0CA15221","H0CA15221","C00706622",,"227761","fec","227761","H0CA15221"
"H0CA15239","2020","2020","C00706713","H","A","227810","1583206034092839962","H0CA15239","H0CA15239","C00706713",,"227810","fec","227810","H0CA15239"
"H0CA15247","2020","2020","C00714568","H","P","228855","1583206034092619814","H0CA15247","H0CA15247","C00714568",,"228855","fec","228855","H0CA15247"
"H0CA15254","2020","2020","C00718577","H","P","229388","1583206034092727192","H0CA15254","H0CA15254","C00718577",,"229388","fec","229388","H0CA15254"
"H0CA15262","2020","2020","C00723031","H","P","230109","1583206034093372295","H0CA15262","H0CA15262","C00723031",,"230109","fec","230109","H0CA15262"
"H0CA16112","2020","2020","C00706168","H","P","227703","1583206034093499572","H0CA16112","H0CA16112","C00706168",,"227703","fec","227703","H0CA16112"
"H0CA16120","2020","2020","C00710699","H","P","228311","1583206034093476844","H0CA16120","H0CA16120","C00710699",,"228311","fec","228311","H0CA16120"
"H0CA16138","2020","2020","C00711911","H","P","228521","1583206034093779881","H0CA16138","H0CA16138","C00711911",,"228521","fec","228521","H0CA16138"
"H0CA17185","2018","2020","C00690545","H","P","224699","1583206034093299545","H0CA17185","H0CA17185","C00690545",,"224699","fec","224699","H0CA17185"
"H0CA17193","2020","2020","C00721878","H","P","229930","158320603409351373","H0CA17193","H0CA17193","C00721878",,"229930","fec","229930","H0CA17193"
"H0CA18068","2020","2020","C00695858","H","P","225727","1583206034093595412","H0CA18068","H0CA18068","C00695858",,"225727","fec","225727","H0CA18068"
"H0CA18068","2020","2020","C00695866","H","P","225728","1583206034093167131","H0CA18068","H0CA18068","C00695866",,"225728","fec","225728","H0CA18068"
"H0CA18084","2020","2020","C00736546","H","P","231887","1583206034093345128","H0CA18084","H0CA18084","C00736546",,"231887","fec","231887","H0CA18084"
"H0CA19173","2020","2020","C00496018","N","J","223234","1583206034093780383","H0CA19173","H0CA19173","C00496018",,"223234","fec","223234","H0CA19173"
"H0CA19173","2020","2020","C00473272","H","P","222571","1583206034094602790","H0CA19173","H0CA19173","C00473272",,"222571","fec","222571","H0CA19173"
"H0CA19207","2020","2020","C00708404","H","P","228012","1583206034094341504","H0CA19207","H0CA19207","C00708404",,"228012","fec","228012","H0CA19207"
"H0CA19223","2020","2020","C00729830","H","P","231002","1583206034094386295","H0CA19223","H0CA19223","C00729830",,"231002","fec","231002","H0CA19223"
"H0CA20122","2020","2020","C00722363","H","P","229970","1583206034094239091","H0CA20122","H0CA20122","C00722363",,"229970","fec","229970","H0CA20122"
"H0CA20130","2020","2020","C00721613","H","P","230286","1583206034094978098","H0CA20130","H0CA20130","C00721613",,"230286","fec","230286","H0CA20130"
"H0CA21104","2020","2020","C00729863","H","P","231003","1583206034094640086","H0CA21104","H0CA21104","C00729863",,"231003","fec","231003","H0CA21104"
"H0CA22094","2020","2020","C00707547","H","P","227924","1583206034094804264","H0CA22094","H0CA22094","C00707547",,"227924","fec","227924","H0CA22094"
"H0CA22102","2020","2020","C00708479","H","P","228040","1583206034094654327","H0CA22102","H0CA22102","C00708479",,"228040","fec","228040","H0CA22102"
"H0CA22110","2020","2020","C00720151","H","P","229644","1583206034094879608","H0CA22110","H0CA22110","C00720151",,"229644","fec","229644","H0CA22110"
"H0CA22128","2020","2020","C00730069","H","P","231004","1583206034094487352","H0CA22128","H0CA22128","C00730069",,"231004","fec","231004","H0CA22128"
"H0CA23167","2020","2020","C00709550","H","P","228170","1583206034094729508","H0CA23167","H0CA23167","C00709550",,"228170","fec","228170","H0CA23167"
"H0CA24140","2020","2020","C00695213","H","P","225729","1583206034094161228","H0CA24140","H0CA24140","C00695213",,"225729","fec","225729","H0CA24140"
"H0CA24157","2020","2020","C00715060","H","P","228910","1583206034094741094","H0CA24157","H0CA24157","C00715060",,"228910","fec","228910","H0CA24157"
"H0CA25097","2020","2020","C00700955","H","P","226866","1583206034095237188","H0CA25097","H0CA25097","C00700955",,"226866","fec","226866","H0CA25097"
"H0CA25105","2020","2020","C00701102","H","P","226915","1583206034095335840","H0CA25105","H0CA25105","C00701102",,"226915","fec","226915","H0CA25105"
"H0CA25113","2020","2020","C00701946","H","P","227141","158320603409512355","H0CA25113","H0CA25113","C00701946",,"227141","fec","227141","H0CA25113"
"H0CA25121","2020","2020","C00704957","H","P","227551","158320603409554784","H0CA25121","H0CA25121","C00704957",,"227551","fec","227551","H0CA25121"
"H0CA25139","2020","2020","C00719047","H","P","229482","1583206034095243948","H0CA25139","H0CA25139","C00719047",,"229482","fec","229482","H0CA25139"
"H0CA25147","2020","2020","C00724963","H","P","230341","158320603409589544","H0CA25147","H0CA25147","C00724963",,"230341","fec","230341","H0CA25147"
"H0CA25154","2020","2020","C00725101","H","P","230365","1583206034095866988","H0CA25154","H0CA25154","C00725101",,"230365","fec","230365","H0CA25154"
"H0CA25170","2020","2020","C00727008","H","P","230743","1583206034095106303","H0CA25170","H0CA25170","C00727008",,"230743","fec","230743","H0CA25170"
"H0CA25188","2020","2020","C00728915","H","P","230857","1583206034095192798","H0CA25188","H0CA25188","C00728915",,"230857","fec","230857","H0CA25188"
"H0CA25196","2020","2020","C00728774","H","P","231644","1583206034095925299","H0CA25196","H0CA25196","C00728774",,"231644","fec","231644","H0CA25196"
"H0CA25196","2019","2020","C00728774","H","P","230832","1583206034095751629","H0CA25196","H0CA25196","C00728774",,"230832","fec","230832","H0CA25196"
"H0CA25204","2020","2020","C00729327","H","P","230915","1583206034095505138","H0CA25204","H0CA25204","C00729327",,"230915","fec","230915","H0CA25204"
"H0CA25212","2020","2020","C00729590","H","P","230943","1583206034095306952","H0CA25212","H0CA25212","C00729590",,"230943","fec","230943","H0CA25212"
"H0CA25220","2020","2020","C00729798","H","P","230964","1583206034096763473","H0CA25220","H0CA25220","C00729798",,"230964","fec","230964","H0CA25220"
"H0CA25238","2020","2020","C00730184","H","P","231017","1583206034096873959","H0CA25238","H0CA25238","C00730184",,"231017","fec","231017","H0CA25238"
"H0CA26129","2020","2020","C00719740","H","P","229606","1583206034096544304","H0CA26129","H0CA26129","C00719740",,"229606","fec","229606","H0CA26129"
"H0CA26137","2020","2020","C00718817","H","P","229453","1583206034096873254","H0CA26137","H0CA26137","C00718817",,"229453","fec","229453","H0CA26137"
"H0CA26145","2020","2020","C00708073","H","P","229483","1583206034096673683","H0CA26145","H0CA26145","C00708073",,"229483","fec","229483","H0CA26145"
"H0CA27085","2020","2020","C00648626","N","J","225554","1583206034096124767","H0CA27085","H0CA27085","C00648626",,"225554","fec","225554","H0CA27085"
"H0CA27085","2020","2020","C00343871","H","P","222309","1583206034096639619","H0CA27085","H0CA27085","C00343871",,"222309","fec","222309","H0CA27085"
"H0CA27127","2020","2020","C00651547","H","P","228897","1583206034096295150","H0CA27127","H0CA27127","C00651547",,"228897","fec","228897","H0CA27127"
"H0CA28133","2020","2020","C00698282","H","P","226246","1583206034096404731","H0CA28133","H0CA28133","C00698282",,"226246","fec","226246","H0CA28133"
"H0CA28141","2020","2020","C00699926","H","P","226596","1583206034096113499","H0CA28141","H0CA28141","C00699926",,"226596","fec","226596","H0CA28141"
"H0CA28174","2020","2020","C00709501","H","P","228262","1583206034096813059","H0CA28174","H0CA28174","C00709501",,"228262","fec","228262","H0CA28174"
"H0CA28182","2020","2020","C00711432","H","P","228443","1583206034096860631","H0CA28182","H0CA28182","C00711432",,"228443","fec","228443","H0CA28182"
