"CAND_ID","CAND_ELECTION_YR","FEC_ELECTION_YR","CMTE_ID","CMTE_TP","CMTE_DSGN","LINKAGE_ID","robin_id","display_name","source","target","type","id","dataset","dataset_id","name"
"H0PA06159","2020","2020","C00704601","H","P","227536","1583206034201345622","H0PA06159","H0PA06159","C00704601",,"227536","fec","227536","H0PA06159"
"H0PA06167","2020","2020","C00713537","H","P","228801","1583206034201453727","H0PA06167","H0PA06167","C00713537",,"228801","fec","228801","H0PA06167"
"H0PA06175","2020","2020","C00720110","H","P","229645","1583206034201466637","H0PA06175","H0PA06175","C00720110",,"229645","fec","229645","H0PA06175"
"H0PA07082","2018","2020","C00466870","H","U","222596","1583206034201220736","H0PA07082","H0PA07082","C00466870",,"222596","fec","222596","H0PA07082"
"H0PA07082","2018","2020","C00735530","H","P","231730","1583206034201924635","H0PA07082","H0PA07082","C00735530",,"231730","fec","231730","H0PA07082"
"H0PA07132","2020","2020","C00722892","H","P","230089","1583206034201320617","H0PA07132","H0PA07132","C00722892",,"230089","fec","230089","H0PA07132"
"H0PA08189","2020","2020","C00722462","H","P","230007","1583206034201197031","H0PA08189","H0PA08189","C00722462",,"230007","fec","230007","H0PA08189"
"H0PA08197","2020","2020","C00713511","H","P","230657","1583206034201117407","H0PA08197","H0PA08197","C00713511",,"230657","fec","230657","H0PA08197"
"H0PA08205","2020","2020","C00730655","H","A","231064","1583206034201339796","H0PA08205","H0PA08205","C00730655",,"231064","fec","231064","H0PA08205"
"H0PA08213","2020","2020","C00733618","H","P","231494","158320603420220992","H0PA08213","H0PA08213","C00733618",,"231494","fec","231494","H0PA08213"
"H0PA08221","2020","2020","C00735688","H","P","231757","158320603420293696","H0PA08221","H0PA08221","C00735688",,"231757","fec","231757","H0PA08221"
"H0PA08239","2020","2020","C00735290","H","P","231901","1583206034202583920","H0PA08239","H0PA08239","C00735290",,"231901","fec","231901","H0PA08239"
"H0PA10078","2020","2020","C00475145","H","P","222584","1583206034202449429","H0PA10078","H0PA10078","C00475145",,"222584","fec","222584","H0PA10078"
"H0PA10102","2020","2020","C00697037","H","P","225987","1583206034202780487","H0PA10102","H0PA10102","C00697037",,"225987","fec","225987","H0PA10102"
"H0PA10110","2020","2020","C00710533","H","P","228321","1583206034202138685","H0PA10110","H0PA10110","C00710533",,"228321","fec","228321","H0PA10110"
"H0PA10128","2020","2020","C00713453","H","P","228747","1583206034202380295","H0PA10128","H0PA10128","C00713453",,"228747","fec","228747","H0PA10128"
"H0PA11175","2020","2020","C00715755","H","P","229031","1583206034202229680","H0PA11175","H0PA11175","C00715755",,"229031","fec","229031","H0PA11175"
"H0PA11183","2020","2020","C00721837","H","P","230085","1583206034202301058","H0PA11183","H0PA11183","C00721837",,"230085","fec","230085","H0PA11183"
"H0PA11191","2020","2020","C00737155","H","P","232014","158320603420247404","H0PA11191","H0PA11191","C00737155",,"232014","fec","232014","H0PA11191"
"H0PA12173","2019","2020","C00696401","H","P","225844","1583206034202855157","H0PA12173","H0PA12173","C00696401",,"225844","fec","225844","H0PA12173"
"H0PA12181","2019","2020","C00697052","H","P","227143","1583206034202680164","H0PA12181","H0PA12181","C00697052",,"227143","fec","227143","H0PA12181"
"H0PA12181","2020","2020","C00697052","H","P","227121","158320603420214429","H0PA12181","H0PA12181","C00697052",,"227121","fec","227121","H0PA12181"
"H0PA13114","2020","2020","C00723858","H","P","232043","1583206034202264796","H0PA13114","H0PA13114","C00723858",,"232043","fec","232043","H0PA13114"
